timestamp,heating_demand[kW],cooling_demand[kW],heating_setpoint,air_temperature,outdoor_temperature
2012-01-01 01:52:00 EST,+2.72719,+1.34878,+68,+67.1854,+15.2124
2012-01-01 01:53:00 EST,+2.72688,+1.34885,+68,+67.1607,+15.1963
2012-01-01 01:54:00 EST,+2.72657,+1.34893,+68,+67.136,+15.1801
2012-01-01 01:55:00 EST,+2.72625,+1.34901,+68,+67.1113,+15.1639
2012-01-01 01:56:00 EST,+2.72594,+1.34909,+68,+67.0866,+15.1476
2012-01-01 01:57:00 EST,+2.72562,+1.34917,+68,+67.0619,+15.1313
2012-01-01 01:58:00 EST,+2.72531,+1.34926,+68,+67.0372,+15.1149
2012-01-01 01:59:00 EST,+2.72499,+1.34934,+68,+67.0125,+15.0985
2012-01-01 02:00:00 EST,+2.72467,+1.34942,+68,+66.9879,+15.082
2012-01-01 02:01:00 EST,+2.72398,+1.34959,+68,+67.2497,+15.0463
2012-01-01 02:02:00 EST,+2.72331,+1.34977,+68,+67.4698,+15.0112
2012-01-01 02:03:00 EST,+2.72264,+1.34994,+68,+67.6551,+14.9767
2012-01-01 02:04:00 EST,+2.72199,+1.3501,+68,+67.8111,+14.9428
2012-01-01 02:05:00 EST,+2.72134,+1.35027,+68,+67.9429,+14.9095
2012-01-01 02:06:00 EST,+2.72071,+1.35043,+68,+68.0538,+14.8768
2012-01-01 02:07:00 EST,+2.72009,+1.35059,+68,+68.1452,+14.8447
2012-01-01 02:08:00 EST,+2.71949,+1.35074,+68,+68.2226,+14.8132
2012-01-01 02:09:00 EST,+2.71889,+1.35089,+68,+68.2885,+14.7823
2012-01-01 02:10:00 EST,+2.71831,+1.35104,+68,+68.3446,+14.752
2012-01-01 02:11:00 EST,+2.71774,+1.35119,+68,+68.3925,+14.7223
2012-01-01 02:12:00 EST,+2.71718,+1.35133,+68,+68.4337,+14.6932
2012-01-01 02:13:00 EST,+2.71663,+1.35147,+68,+68.4692,+14.6647
2012-01-01 02:14:00 EST,+2.71609,+1.35161,+68,+68.4999,+14.6368
2012-01-01 02:15:00 EST,+2.71556,+1.35174,+68,+68.5266,+14.6095
2012-01-01 02:16:00 EST,+2.71505,+1.35187,+68,+68.5501,+14.5828
2012-01-01 02:17:00 EST,+2.71455,+1.352,+68,+68.5707,+14.5567
2012-01-01 02:18:00 EST,+2.71406,+1.35213,+68,+68.589,+14.5312
2012-01-01 02:19:00 EST,+2.71358,+1.35225,+68,+68.6054,+14.5063
2012-01-01 02:20:00 EST,+2.71311,+1.35237,+68,+68.6201,+14.482
2012-01-01 02:21:00 EST,+2.71266,+1.35249,+68,+68.6335,+14.4583
2012-01-01 02:22:00 EST,+2.71221,+1.3526,+68,+68.6458,+14.4352
2012-01-01 02:23:00 EST,+2.71178,+1.35271,+68,+68.6571,+14.4127
2012-01-01 02:24:00 EST,+2.71136,+1.35282,+68,+68.6676,+14.3908
2012-01-01 02:25:00 EST,+2.71095,+1.35293,+68,+68.6774,+14.3695
2012-01-01 02:26:00 EST,+2.71055,+1.35303,+68,+68.6867,+14.3488
2012-01-01 02:27:00 EST,+2.71017,+1.35313,+68,+68.6956,+14.3287
2012-01-01 02:28:00 EST,+2.70979,+1.35322,+68,+68.704,+14.3092
2012-01-01 02:29:00 EST,+2.70943,+1.35331,+68,+68.7122,+14.2903
2012-01-01 02:30:00 EST,+2.70908,+1.35341,+68,+68.72,+14.272
2012-01-01 02:31:00 EST,+2.70874,+1.35349,+68,+68.7277,+14.2543
2012-01-01 02:32:00 EST,+2.70841,+1.35358,+68,+68.7352,+14.2372
2012-01-01 02:33:00 EST,+2.7081,+1.35366,+68,+68.7425,+14.2207
2012-01-01 02:34:00 EST,+2.70779,+1.35374,+68,+68.7497,+14.2048
2012-01-01 02:35:00 EST,+2.7075,+1.35381,+68,+68.7568,+14.1895
2012-01-01 02:36:00 EST,+2.70722,+1.35388,+68,+68.7638,+14.1748
2012-01-01 02:37:00 EST,+2.70695,+1.35395,+68,+68.7707,+14.1607
2012-01-01 02:38:00 EST,+2.70669,+1.35402,+68,+68.7776,+14.1472
2012-01-01 02:39:00 EST,+2.70644,+1.35408,+68,+68.7845,+14.1343
2012-01-01 02:40:00 EST,+2.7062,+1.35414,+68,+68.7913,+14.122
2012-01-01 02:41:00 EST,+2.70598,+1.3542,+68,+68.7981,+14.1103
2012-01-01 02:42:00 EST,+2.70577,+1.35426,+68,+68.8049,+14.0992
2012-01-01 02:43:00 EST,+2.70557,+1.35431,+68,+68.8117,+14.0887
2012-01-01 02:44:00 EST,+2.70538,+1.35436,+68,+68.8185,+14.0788
2012-01-01 02:45:00 EST,+2.7052,+1.3544,+68,+68.8253,+14.0695
2012-01-01 02:46:00 EST,+2.70503,+1.35444,+68,+68.832,+14.0608
2012-01-01 02:47:00 EST,+2.70488,+1.35448,+68,+68.8388,+14.0527
2012-01-01 02:48:00 EST,+2.70473,+1.35452,+68,+68.8456,+14.0452
2012-01-01 02:49:00 EST,+2.7046,+1.35456,+68,+68.8525,+14.0383
2012-01-01 02:50:00 EST,+2.70448,+1.35459,+68,+68.8593,+14.032
2012-01-01 02:51:00 EST,+2.70437,+1.35461,+68,+68.8661,+14.0263
2012-01-01 02:52:00 EST,+2.70427,+1.35464,+68,+68.873,+14.0212
2012-01-01 02:53:00 EST,+2.70419,+1.35466,+68,+68.8799,+14.0167
2012-01-01 02:54:00 EST,+2.70411,+1.35468,+68,+68.8868,+14.0128
2012-01-01 02:55:00 EST,+2.70405,+1.3547,+68,+68.8938,+14.0095
2012-01-01 02:56:00 EST,+2.704,+1.35471,+68,+68.9007,+14.0068
2012-01-01 02:57:00 EST,+2.70396,+1.35472,+68,+68.9077,+14.0047
2012-01-01 02:58:00 EST,+2.70393,+1.35473,+68,+68.9147,+14.0032
2012-01-01 02:59:00 EST,+2.70391,+1.35473,+68,+68.9218,+14.0023
2012-01-01 03:00:00 EST,+2.70391,+1.35473,+68,+68.9289,+14.002
2012-01-01 03:01:00 EST,+2.70442,+1.3546,+68,+68.936,+14.0288
2012-01-01 03:02:00 EST,+2.70493,+1.35447,+68,+68.9434,+14.0554
2012-01-01 03:03:00 EST,+2.70543,+1.35434,+68,+68.9512,+14.0816
2012-01-01 03:04:00 EST,+2.70593,+1.35421,+68,+68.9592,+14.1076
2012-01-01 03:05:00 EST,+2.70642,+1.35409,+68,+68.9673,+14.1332
2012-01-01 03:06:00 EST,+2.70691,+1.35396,+68,+68.9755,+14.1586
2012-01-01 03:07:00 EST,+2.70739,+1.35384,+68,+68.9837,+14.1836
2012-01-01 03:08:00 EST,+2.70786,+1.35372,+68,+68.992,+14.2084
2012-01-01 03:09:00 EST,+2.70833,+1.3536,+68,+69.0004,+14.2328
2012-01-01 03:10:00 EST,+2.70879,+1.35348,+68,+68.7281,+14.257
2012-01-01 03:11:00 EST,+2.70925,+1.35336,+68,+68.4963,+14.2808
2012-01-01 03:12:00 EST,+2.7097,+1.35325,+68,+68.2983,+14.3044
2012-01-01 03:13:00 EST,+2.71015,+1.35313,+68,+68.1287,+14.3276
2012-01-01 03:14:00 EST,+2.71059,+1.35302,+68,+67.9827,+14.3506
2012-01-01 03:15:00 EST,+2.71102,+1.35291,+68,+67.8566,+14.3732
2012-01-01 03:16:00 EST,+2.71145,+1.3528,+68,+67.7471,+14.3956
2012-01-01 03:17:00 EST,+2.71188,+1.35269,+68,+67.6514,+14.4176
2012-01-01 03:18:00 EST,+2.71229,+1.35258,+68,+67.5673,+14.4394
2012-01-01 03:19:00 EST,+2.71271,+1.35248,+68,+67.4929,+14.4608
2012-01-01 03:20:00 EST,+2.71311,+1.35237,+68,+67.4266,+14.482
2012-01-01 03:21:00 EST,+2.71351,+1.35227,+68,+67.3671,+14.5028
2012-01-01 03:22:00 EST,+2.71391,+1.35217,+68,+67.3133,+14.5234
2012-01-01 03:23:00 EST,+2.7143,+1.35207,+68,+67.2642,+14.5436
2012-01-01 03:24:00 EST,+2.71468,+1.35197,+68,+67.2191,+14.5636
2012-01-01 03:25:00 EST,+2.71506,+1.35187,+68,+67.1774,+14.5832
2012-01-01 03:26:00 EST,+2.71543,+1.35178,+68,+67.1384,+14.6026
2012-01-01 03:27:00 EST,+2.7158,+1.35168,+68,+67.1017,+14.6216
2012-01-01 03:28:00 EST,+2.71616,+1.35159,+68,+67.0671,+14.6404
2012-01-01 03:29:00 EST,+2.71651,+1.3515,+68,+67.034,+14.6588
2012-01-01 03:30:00 EST,+2.71686,+1.35141,+68,+67.0023,+14.677
2012-01-01 03:31:00 EST,+2.71721,+1.35132,+68,+66.9718,+14.6948
2012-01-01 03:32:00 EST,+2.71754,+1.35124,+68,+67.2262,+14.7124
2012-01-01 03:33:00 EST,+2.71788,+1.35115,+68,+67.4405,+14.7296
2012-01-01 03:34:00 EST,+2.7182,+1.35107,+68,+67.6213,+14.7466
2012-01-01 03:35:00 EST,+2.71852,+1.35099,+68,+67.774,+14.7632
2012-01-01 03:36:00 EST,+2.71884,+1.35091,+68,+67.9034,+14.7796
2012-01-01 03:37:00 EST,+2.71915,+1.35083,+68,+68.0131,+14.7956
2012-01-01 03:38:00 EST,+2.71945,+1.35075,+68,+68.1065,+14.8114
2012-01-01 03:39:00 EST,+2.71975,+1.35067,+68,+68.1861,+14.8268
2012-01-01 03:40:00 EST,+2.72004,+1.3506,+68,+68.2543,+14.842
2012-01-01 03:41:00 EST,+2.72033,+1.35053,+68,+68.313,+14.8568
2012-01-01 03:42:00 EST,+2.72061,+1.35045,+68,+68.3636,+14.8714
2012-01-01 03:43:00 EST,+2.72088,+1.35038,+68,+68.4075,+14.8856
2012-01-01 03:44:00 EST,+2.72115,+1.35032,+68,+68.4458,+14.8996
2012-01-01 03:45:00 EST,+2.72142,+1.35025,+68,+68.4794,+14.9132
2012-01-01 03:46:00 EST,+2.72167,+1.35018,+68,+68.509,+14.9266
2012-01-01 03:47:00 EST,+2.72192,+1.35012,+68,+68.5354,+14.9396
2012-01-01 03:48:00 EST,+2.72217,+1.35006,+68,+68.5591,+14.9524
2012-01-01 03:49:00 EST,+2.72241,+1.34999,+68,+68.5804,+14.9648
2012-01-01 03:50:00 EST,+2.72265,+1.34993,+68,+68.5999,+14.977
